City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
kafue,ZM,71.51,45,45,2.86,-15.7691,28.1814,1634953435
srednekolymsk,RU,-1.53,89,54,1.16,67.45,153.6833,1634953435
fuxin,CN,53.08,29,0,4.56,42.0156,121.6589,1634953151
ilulissat,GL,19.42,58,98,11.5,69.2167,-51.1,1634953436
stokmarknes,NO,33.49,50,98,0.87,68.5646,14.9108,1634953436
alapur,IN,71.91,65,0,2.17,27.9555,79.2269,1634953437
bealanana,MG,63.93,93,92,1.79,-14.55,48.7333,1634953437
coquimbo,CL,55.13,87,0,9.22,-29.9533,-71.3436,1634953396
saposoa,PE,84.81,77,86,2.98,-6.934,-76.7716,1634953438
port macquarie,AU,82.89,62,2,13.42,-31.4333,152.9167,1634953438
bay roberts,CA,53.33,89,100,5.41,47.5999,-53.2648,1634953381
muqui,BR,64.58,89,88,1.34,-20.956,-41.3531,1634953438
hazorasp,UZ,35.44,42,3,9.19,41.3194,61.0742,1634953439
nyurba,RU,34.59,85,43,7.96,63.2842,118.3319,1634953439
san juan bautista,PE,56.17,58,25,1.3,-14.0108,-75.7358,1634953440
olafsvik,IS,45.34,94,100,8.75,64.8945,-23.7142,1634953440
porto novo,BJ,78.62,86,100,5.61,6.4965,2.6036,1634953440
pathum thani,TH,80.58,94,40,6.91,14.0833,100.6,1634953441
idappadi,IN,76.3,88,100,1.88,11.5833,77.85,1634953441
ruidoso,US,59.52,39,1,6.91,33.3317,-105.673,1634953442
letlhakeng,BW,64.9,17,0,3.76,-24.0944,25.0298,1634953442
khorinsk,RU,38.07,48,0,2.73,52.1657,109.7726,1634953443
chato,TZ,67.21,76,11,3.67,-2.6378,31.7669,1634953443
cachoeira do sul,BR,60.26,77,0,7.96,-30.0392,-52.8939,1634953443
shasta lake,US,58.08,85,100,1.01,40.6804,-122.3708,1634953444
rolante,BR,66.25,92,3,3.11,-29.6506,-50.5758,1634953444
faya,SA,55.51,36,98,6.02,18.3851,42.4509,1634953445
orange cove,US,71.65,65,99,8.7,36.6244,-119.3137,1634953445
vardo,NO,35.06,60,100,20.42,70.3705,31.1107,1634953445
tenenkou,ML,83.44,51,74,6.73,14.4572,-4.9169,1634953446
itoman,JP,75.58,59,75,12.66,26.1247,127.6694,1634953446
bulgan,MN,38.19,37,0,2.1,48.8125,103.5347,1634953447
hambantota,LK,75.54,100,20,4.61,6.1241,81.1185,1634953447
azul,AR,55.35,97,100,6.31,-36.777,-59.8585,1634953447
general pico,AR,56.32,86,92,2.33,-35.6566,-63.7568,1634953330
samoded,RU,30.0,97,100,9.04,63.6083,40.5111,1634953448
gorontalo,ID,79.52,83,99,1.74,0.5412,123.0595,1634953448
zhanakorgan,KZ,40.48,48,61,5.66,43.9098,67.2495,1634953449
houston,US,80.74,79,75,3.0,29.7633,-95.3633,1634953410
saldanha,ZA,58.46,82,100,22.19,-33.0117,17.9442,1634953449
menongue,AO,65.44,73,16,4.76,-14.6585,17.691,1634953450
chake chake,TZ,72.75,81,67,2.06,-5.2459,39.7666,1634953450
puerto penasco,MX,76.91,75,0,1.99,31.3167,-113.5333,1634953316
pasni,PK,76.21,24,0,8.88,25.2631,63.471,1634953451
yarada,IN,79.12,94,40,4.61,17.65,83.2667,1634953191
marawi,PH,73.65,72,100,2.86,7.9986,124.2928,1634953452
kodinsk,RU,40.33,74,100,9.95,58.6881,99.1844,1634953452
edd,ER,84.04,72,6,6.08,13.9297,41.6925,1634953452
grand gaube,MU,73.38,86,84,5.99,-20.0064,57.6608,1634953453
hervey bay,AU,86.04,83,6,19.62,-25.2986,152.8535,1634953453
sorong,ID,84.99,60,52,1.57,-0.8833,131.25,1634953453
shimoda,JP,64.76,69,65,5.64,34.6667,138.95,1634953454
ojinaga,MX,84.42,39,1,10.36,29.5667,-104.4167,1634953454
alice springs,AU,80.15,28,0,17.27,-23.7,133.8833,1634953288
straubing,DE,44.58,74,100,7.07,48.8833,12.5667,1634953455
miandrivazo,MG,71.11,73,91,1.39,-19.5167,45.4667,1634953455
valkeala,FI,34.2,100,90,4.61,60.9401,26.7979,1634953456
svetlogorsk,BY,43.29,59,14,14.72,52.6333,29.7333,1634953456
caravelas,BR,73.56,85,97,6.11,-17.7125,-39.2481,1634953457
beni mazar,EG,66.42,78,22,14.14,28.4962,30.8029,1634953457
anlu,CN,61.32,46,34,1.01,31.1661,112.5831,1634953457
nikki,BJ,72.32,92,99,5.08,9.9401,3.2108,1634953458
oksfjord,NO,32.92,91,100,3.49,70.2396,22.3479,1634953458
murray bridge,AU,66.43,36,8,18.86,-35.1167,139.2667,1634953459
genhe,CN,39.4,56,9,4.63,50.7833,121.5167,1634953459
beringovskiy,RU,17.4,80,100,14.25,63.05,179.3167,1634953459
padang,ID,83.35,73,95,0.65,-0.9492,100.3543,1634953460
przhevalskoye,RU,40.87,88,100,12.39,55.5093,31.8482,1634953460
ratholo,BW,71.74,45,12,1.77,-22.7245,27.572,1634953460
pontianak,ID,76.98,88,40,3.44,-0.0333,109.3333,1634953461
almaznyy,RU,51.94,93,80,8.9,48.0448,40.045,1634953461
sumbe,AO,74.91,82,84,7.56,-11.2061,13.8437,1634953462
pangai,TO,78.91,53,20,12.66,-19.8,-174.35,1634953462
jieshou,CN,61.18,42,15,6.22,33.2634,115.3611,1634953462
simpang,ID,84.76,74,40,0.36,-1.2667,104.0833,1634953463
villa guerrero,MX,66.58,90,100,3.15,18.8667,-99.65,1634953463
quatre cocos,MU,73.09,82,69,12.08,-20.2078,57.7625,1634953463
atikokan,CA,33.62,87,100,4.09,48.7555,-91.6216,1634953464
sault sainte marie,CA,43.9,78,90,0.0,46.5168,-84.3333,1634953236
praya,CV,77.54,69,20,9.22,14.9215,-23.5087,1634953465
soissons,FR,50.2,77,100,5.01,49.3333,3.3333,1634953465
asau,RO,53.76,71,100,4.41,46.4333,26.4,1634953465
red bluff,US,64.11,59,20,9.22,40.1785,-122.2358,1634953466
maun,BW,67.96,77,0,1.14,-19.9833,23.4167,1634953466
ambositra,MG,58.42,98,100,3.02,-20.5167,47.25,1634953467
tazovskiy,RU,21.78,97,87,2.01,67.4667,78.7,1634953467
ca mau,VN,83.97,75,99,4.09,9.1769,105.15,1634953467
glenluce,GB,49.28,86,100,9.57,54.8798,-4.8084,1634953468
santa cruz do capibaribe,BR,71.2,90,7,3.76,-7.9575,-36.2047,1634953468
imbituba,BR,69.69,93,3,11.56,-28.24,-48.6703,1634953469
batticaloa,LK,79.93,81,8,6.89,7.7102,81.6924,1634953469
dawlatabad,AF,41.74,35,0,4.76,36.4141,64.9053,1634953469
mahebourg,MU,73.26,94,75,6.91,-20.4081,57.7,1634953470
klaksvik,FO,45.52,79,100,26.51,62.2266,-6.589,1634953470
cherskiy,RU,1.11,96,100,3.15,68.75,161.3,1634953470
zeya,RU,45.19,59,20,3.22,53.75,127.2667,1634953471
podgorenskiy,RU,52.39,58,100,5.48,50.405,39.6429,1634953471
dalvik,IS,31.93,92,100,9.82,65.9702,-18.5286,1634953472
galesong,ID,86.02,66,29,2.21,-5.3166,119.3661,1634953336
tumpat,MY,82.38,88,20,4.61,6.1978,102.171,1634953472
itaituba,BR,74.61,97,100,1.28,-4.2761,-55.9836,1634953473
sur,OM,80.53,63,0,4.63,22.5667,59.5289,1634953473
cacu,BR,75.13,53,0,3.83,-18.5567,-51.1308,1634953473
yeppoon,AU,87.58,52,5,10.16,-23.1333,150.7333,1634953474
kruisfontein,ZA,63.88,55,100,8.12,-34.0033,24.7314,1634953474
maniwaki,CA,35.98,75,49,4.61,46.3834,-75.966,1634953475
ketchikan,US,46.87,87,75,19.57,55.3422,-131.6461,1634953475
indiaroba,BR,75.22,95,16,3.87,-11.5192,-37.5117,1634953475
solwezi,ZM,62.65,88,9,3.91,-12.1688,26.3894,1634953476
conde,BR,78.26,83,40,6.91,-7.2597,-34.9075,1634953476
nebbi,UG,65.3,86,93,2.3,2.4783,31.0889,1634953476
hamilton,US,53.89,96,90,1.99,39.1834,-84.5333,1634953477
steinbach,DE,49.64,85,75,3.44,50.1667,8.5667,1634953477
staroshcherbinovskaya,RU,53.15,93,81,8.32,46.6311,38.6742,1634953478
tokat,TR,42.62,35,0,3.24,40.4167,36.5833,1634953478
pringsewu,ID,84.51,67,100,1.3,-5.3582,104.9744,1634953478
flinders,AU,82.8,71,50,4.0,-34.5833,150.8552,1634953479
may pen,JM,83.41,93,64,1.28,17.9645,-77.2451,1634953479
aksu,CN,50.88,61,100,7.7,41.1231,80.2644,1634953480
henties bay,NA,57.85,86,0,5.5,-22.116,14.2845,1634953480
abu road,IN,67.73,81,0,4.21,24.4833,72.7833,1634953480
nuuk,GL,29.01,54,0,33.38,64.1835,-51.7216,1634953481
xuddur,SO,72.21,86,65,9.53,4.1213,43.8894,1634953481
kraslava,LV,39.02,91,94,11.83,55.8951,27.168,1634953482
port-cartier,CA,48.42,93,100,7.65,50.0334,-66.8654,1634953482
brae,GB,44.51,68,94,6.51,60.3964,-1.353,1634953237
omboue,GA,76.64,87,100,6.69,-1.5746,9.2618,1634953482
kiruna,SE,16.72,93,90,0.0,67.8557,20.2251,1634953457
bereda,ES,45.57,100,8,1.07,43.2686,-7.5406,1634953483
aripuana,BR,76.8,78,9,1.48,-9.1667,-60.6333,1634953483
kawalu,ID,80.49,77,97,3.33,-7.3817,108.2082,1634953484
bilibino,RU,-0.78,97,98,1.97,68.0546,166.4372,1634953484
loudeac,FR,48.76,84,4,0.83,48.1783,-2.7543,1634953485
alamos,MX,77.31,39,0,1.3,27.0167,-108.9333,1634953485
monroe,US,44.4,81,75,3.44,43.1501,-77.6831,1634953485
oboyan,RU,50.32,63,31,8.21,51.2098,36.2792,1634953486
suruc,TR,62.8,24,0,4.88,36.9761,38.425,1634953486
russell,US,64.0,88,1,0.0,32.3502,-85.1999,1634953487
verkhoyansk,RU,9.95,93,92,1.39,67.5447,133.385,1634953487
itupiranga,BR,73.81,94,98,0.4,-5.1347,-49.3267,1634953487
haapiti,PF,73.13,87,93,29.93,-17.5667,-149.8667,1634953488
turukhansk,RU,31.59,97,100,22.03,65.8167,87.9833,1634953488
kropotkin,RU,50.32,64,0,6.82,45.4375,40.5756,1634953489
soller,ES,65.82,57,100,4.0,39.7662,2.7152,1634953489
dawson creek,CA,40.64,87,1,0.0,55.7666,-120.2362,1634953227
cheney,US,50.76,94,90,10.36,47.4874,-117.5758,1634953380
liverpool,GB,50.09,85,0,4.61,53.4106,-2.9779,1634953318
dalby,AU,90.99,35,2,5.01,-27.1833,151.2667,1634953490
teahupoo,PF,67.96,86,80,31.74,-17.8333,-149.2667,1634953490
sagar,IN,69.24,66,0,3.18,23.8333,78.7167,1634953491
fecamp,FR,54.48,74,100,3.96,49.7579,0.3746,1634953491
rorvik,NO,40.33,72,96,3.18,64.8621,11.2373,1634953492
thurso,GB,46.65,84,100,12.64,58.5927,-3.5259,1634953492
takanosu,JP,45.36,87,75,6.91,40.2219,140.3694,1634953493
mezen,RU,27.45,91,86,6.6,65.8522,44.24,1634953493
gornopravdinsk,RU,40.6,96,100,11.3,60.05,69.9,1634953493
angoche,MZ,70.81,76,3,5.01,-16.2325,39.9086,1634953494
ostrovnoy,RU,34.09,66,100,23.2,68.0531,39.5131,1634953494
alofi,NU,78.69,53,100,16.11,-19.0595,-169.9187,1634953197
lentekhi,GE,48.51,59,0,6.26,42.7856,42.7261,1634953495
ngunguru,NZ,60.17,95,100,24.2,-35.6167,174.5,1634953495
vestmannaeyjar,IS,48.76,97,100,7.09,63.4427,-20.2734,1634953495
karpathos,GR,66.16,82,7,3.44,35.507,27.2132,1634953496
sambava,MG,72.18,92,23,4.23,-14.2667,50.1667,1634953229
cortez,US,54.68,51,1,9.22,37.3489,-108.5859,1634953335
jumla,NP,53.15,81,7,3.11,29.2747,82.1838,1634953497
haines junction,CA,37.35,87,100,3.44,60.7522,-137.5108,1634953497
bathsheba,BB,83.01,69,20,24.16,13.2167,-59.5167,1634953498
mongoumba,CF,69.8,95,78,1.68,3.6415,18.5936,1634953498
truckee,US,49.62,92,90,5.75,39.328,-120.1833,1634953436
neuquen,AR,53.49,47,0,2.3,-38.9516,-68.0591,1634953499
