City,Country,Latitude,Temperature,Humidity,Cloudiness,Windspeed,Date
przhevalskoye,RU,55.5093,40.87,88,100,12.39,1634953460
ratholo,BW,-22.7245,71.74,45,12,1.77,1634953460
pontianak,ID,-0.0333,76.98,88,40,3.44,1634953461
almaznyy,RU,48.0448,51.94,93,80,8.9,1634953461
sumbe,AO,-11.2061,74.91,82,84,7.56,1634953462
pangai,TO,-19.8,78.91,53,20,12.66,1634953462
jieshou,CN,33.2634,61.18,42,15,6.22,1634953462
simpang,ID,-1.2667,84.76,74,40,0.36,1634953463
villa guerrero,MX,18.8667,66.58,90,100,3.15,1634953463
quatre cocos,MU,-20.2078,73.09,82,69,12.08,1634953463
atikokan,CA,48.7555,33.62,87,100,4.09,1634953464
sault sainte marie,CA,46.5168,43.9,78,90,0.0,1634953236
praya,CV,14.9215,77.54,69,20,9.22,1634953465
soissons,FR,49.3333,50.2,77,100,5.01,1634953465
asau,RO,46.4333,53.76,71,100,4.41,1634953465
red bluff,US,40.1785,64.11,59,20,9.22,1634953466
maun,BW,-19.9833,67.96,77,0,1.14,1634953466
ambositra,MG,-20.5167,58.42,98,100,3.02,1634953467
tazovskiy,RU,67.4667,21.78,97,87,2.01,1634953467
ca mau,VN,9.1769,83.97,75,99,4.09,1634953467
glenluce,GB,54.8798,49.28,86,100,9.57,1634953468
santa cruz do capibaribe,BR,-7.9575,71.2,90,7,3.76,1634953468
imbituba,BR,-28.24,69.69,93,3,11.56,1634953469
batticaloa,LK,7.7102,79.93,81,8,6.89,1634953469
dawlatabad,AF,36.4141,41.74,35,0,4.76,1634953469
mahebourg,MU,-20.4081,73.26,94,75,6.91,1634953470
klaksvik,FO,62.2266,45.52,79,100,26.51,1634953470
cherskiy,RU,68.75,1.11,96,100,3.15,1634953470
zeya,RU,53.75,45.19,59,20,3.22,1634953471
podgorenskiy,RU,50.405,52.39,58,100,5.48,1634953471
dalvik,IS,65.9702,31.93,92,100,9.82,1634953472
galesong,ID,-5.3166,86.02,66,29,2.21,1634953336
tumpat,MY,6.1978,82.38,88,20,4.61,1634953472
itaituba,BR,-4.2761,74.61,97,100,1.28,1634953473
sur,OM,22.5667,80.53,63,0,4.63,1634953473
cacu,BR,-18.5567,75.13,53,0,3.83,1634953473
yeppoon,AU,-23.1333,87.58,52,5,10.16,1634953474
kruisfontein,ZA,-34.0033,63.88,55,100,8.12,1634953474
maniwaki,CA,46.3834,35.98,75,49,4.61,1634953475
ketchikan,US,55.3422,46.87,87,75,19.57,1634953475
indiaroba,BR,-11.5192,75.22,95,16,3.87,1634953475
solwezi,ZM,-12.1688,62.65,88,9,3.91,1634953476
conde,BR,-7.2597,78.26,83,40,6.91,1634953476
nebbi,UG,2.4783,65.3,86,93,2.3,1634953476
hamilton,US,39.1834,53.89,96,90,1.99,1634953477
steinbach,DE,50.1667,49.64,85,75,3.44,1634953477
staroshcherbinovskaya,RU,46.6311,53.15,93,81,8.32,1634953478
tokat,TR,40.4167,42.62,35,0,3.24,1634953478
pringsewu,ID,-5.3582,84.51,67,100,1.3,1634953478
flinders,AU,-34.5833,82.8,71,50,4.0,1634953479
may pen,JM,17.9645,83.41,93,64,1.28,1634953479
aksu,CN,41.1231,50.88,61,100,7.7,1634953480
henties bay,NA,-22.116,57.85,86,0,5.5,1634953480
abu road,IN,24.4833,67.73,81,0,4.21,1634953480
nuuk,GL,64.1835,29.01,54,0,33.38,1634953481
xuddur,SO,4.1213,72.21,86,65,9.53,1634953481
kraslava,LV,55.8951,39.02,91,94,11.83,1634953482
port-cartier,CA,50.0334,48.42,93,100,7.65,1634953482
brae,GB,60.3964,44.51,68,94,6.51,1634953237
omboue,GA,-1.5746,76.64,87,100,6.69,1634953482
kiruna,SE,67.8557,16.72,93,90,0.0,1634953457
bereda,ES,43.2686,45.57,100,8,1.07,1634953483
aripuana,BR,-9.1667,76.8,78,9,1.48,1634953483
kawalu,ID,-7.3817,80.49,77,97,3.33,1634953484
bilibino,RU,68.0546,-0.78,97,98,1.97,1634953484
loudeac,FR,48.1783,48.76,84,4,0.83,1634953485
alamos,MX,27.0167,77.31,39,0,1.3,1634953485
monroe,US,43.1501,44.4,81,75,3.44,1634953485
oboyan,RU,51.2098,50.32,63,31,8.21,1634953486
suruc,TR,36.9761,62.8,24,0,4.88,1634953486
russell,US,32.3502,64.0,88,1,0.0,1634953487
verkhoyansk,RU,67.5447,9.95,93,92,1.39,1634953487
itupiranga,BR,-5.1347,73.81,94,98,0.4,1634953487
haapiti,PF,-17.5667,73.13,87,93,29.93,1634953488
turukhansk,RU,65.8167,31.59,97,100,22.03,1634953488
kropotkin,RU,45.4375,50.32,64,0,6.82,1634953489
soller,ES,39.7662,65.82,57,100,4.0,1634953489
dawson creek,CA,55.7666,40.64,87,1,0.0,1634953227
cheney,US,47.4874,50.76,94,90,10.36,1634953380
liverpool,GB,53.4106,50.09,85,0,4.61,1634953318
dalby,AU,-27.1833,90.99,35,2,5.01,1634953490
teahupoo,PF,-17.8333,67.96,86,80,31.74,1634953490
sagar,IN,23.8333,69.24,66,0,3.18,1634953491
fecamp,FR,49.7579,54.48,74,100,3.96,1634953491
rorvik,NO,64.8621,40.33,72,96,3.18,1634953492
thurso,GB,58.5927,46.65,84,100,12.64,1634953492
takanosu,JP,40.2219,45.36,87,75,6.91,1634953493
mezen,RU,65.8522,27.45,91,86,6.6,1634953493
gornopravdinsk,RU,60.05,40.6,96,100,11.3,1634953493
angoche,MZ,-16.2325,70.81,76,3,5.01,1634953494
ostrovnoy,RU,68.0531,34.09,66,100,23.2,1634953494
alofi,NU,-19.0595,78.69,53,100,16.11,1634953197
lentekhi,GE,42.7856,48.51,59,0,6.26,1634953495
ngunguru,NZ,-35.6167,60.17,95,100,24.2,1634953495
vestmannaeyjar,IS,63.4427,48.76,97,100,7.09,1634953495
karpathos,GR,35.507,66.16,82,7,3.44,1634953496
sambava,MG,-14.2667,72.18,92,23,4.23,1634953229
cortez,US,37.3489,54.68,51,1,9.22,1634953335
jumla,NP,29.2747,53.15,81,7,3.11,1634953497
haines junction,CA,60.7522,37.35,87,100,3.44,1634953497
bathsheba,BB,13.2167,83.01,69,20,24.16,1634953498
mongoumba,CF,3.6415,69.8,95,78,1.68,1634953498
truckee,US,39.328,49.62,92,90,5.75,1634953436
neuquen,AR,-38.9516,53.49,47,0,2.3,1634953499
